budget_project_id,logic1_point,logic1_reason
3703,4.0,災害時の備蓄設備導入は直接的な課題解決に寄与するが、outcomeが具体的でない。
3835,2.0,住民理解促進のoutcomeが曖昧で、具体的な成果が見えにくい。
7486,1.0,オンライン化の件数がoutcomeとして不十分で、課題解決に直結しない。
4685,3.0,統計調査の活用は評価できるが、outcomeが具体的でない。
6020,2.0,FS調査の件数がoutcomeとして不十分で、具体的な成果が見えにくい。
5016,4.0,地熱開発の不安解消に寄与するが、outcomeが具体的でない。
7120,5.0,高効率給湯器の導入支援は直接的な省エネ効果が期待できる。
6019,5.0,電動車の普及促進は直接的な環境改善に寄与する。
3790,3.0,技術普及のoutcomeが曖昧で、具体的な成果が見えにくい。
4753,4.0,脱炭素型物流モデルの構築は評価できるが、outcomeが具体的でない。
3864,2.0,CO2貯留ポテンシャルの数がoutcomeとして不十分で、具体的な成果が見えにくい。
3597,1.0,調査結果の公表回数がoutcomeとして不十分で、課題解決に直結しない。
3833,2.0,理解促進活動のoutcomeが曖昧で、具体的な成果が見えにくい。
7123,3.0,事業再構築のoutcomeが具体的でないが、一定の効果は期待できる。
5067,4.0,放射能レベルの把握は評価できるが、outcomeが具体的でない。
3709,2.0,融資件数がoutcomeとして不十分で、具体的な成果が見えにくい。
3719,3.0,国家備蓄の管理は評価できるが、outcomeが具体的でない。
3986,5.0,再エネアグリゲーションの実証は直接的な効果が期待できる。
5078,4.0,防護措置の実効性向上は評価できるが、outcomeが具体的でない。
3701,2.0,潤滑油の品質確保のoutcomeが曖昧で、具体的な成果が見えにくい。
7196,3.0,ゼロエミッションセンターの活動は評価できるが、outcomeが具体的でない。
5065,2.0,核物質防護のoutcomeが曖昧で、具体的な成果が見えにくい。
20222,1.0,ESG活動の調査がoutcomeとして不十分で、課題解決に直結しない。
3746,4.0,人材育成は評価できるが、outcomeが具体的でない。
19589,5.0,CO2削減の具体的な効果が期待できる。
3965,5.0,省エネ化の具体的な効果が期待できる。
6773,2.0,調査件数がoutcomeとして不十分で、具体的な成果が見えにくい。
3969,4.0,災害時の対応能力強化は評価できるが、outcomeが具体的でない。
5017,3.0,環境調査のoutcomeが具体的でないが、一定の効果は期待できる。
5019,5.0,CO2削減技術の開発は直接的な効果が期待できる。
